CustomerID,YearMonth,Invoices_Count,Monthly_Spend,Monthly_Units,Months_Balance,Status
12346,2011-01,1,77183.6,74215,-8,0
12347,2010-12,1,711.79,319,-9,0
12347,2011-01,1,475.39,315,-8,0
12347,2011-04,1,636.25,483,-5,0
12347,2011-06,1,382.52,196,-3,0
12347,2011-08,1,584.9100000000001,277,-1,0
12347,2011-10,1,1294.32,676,1,0
12347,2011-12,1,224.82,192,3,0
12348,2010-12,1,892.8,1254,-9,0
12348,2011-01,1,227.44,601,-8,0
12348,2011-04,1,367.0,269,-5,0
12348,2011-09,1,310.0,217,0,0
12349,2011-11,1,1757.55,631,2,0
12350,2011-02,1,334.4,197,-7,0
12352,2011-02,1,296.5,98,-7,0
12352,2011-03,4,1265.31,156,-6,C
12352,2011-09,2,632.5,155,0,C
12352,2011-11,1,311.73,127,2,0
12353,2011-05,1,89.0,20,-4,0
12354,2011-04,1,1079.4,530,-5,0
12355,2011-05,1,459.4,240,-4,0
12356,2011-01,1,2271.62,1216,-8,0
12356,2011-04,1,481.46000000000004,370,-5,0
12356,2011-11,1,58.349999999999994,5,2,0
12357,2011-11,1,6207.67,2708,2,0
12358,2011-07,1,484.86,100,-2,0
12358,2011-12,1,683.2,148,3,0
12359,2011-01,1,547.5,144,-8,0
12359,2011-02,1,1838.9099999999999,465,-7,0
12359,2011-06,1,1109.32,356,-3,0
12359,2011-10,1,2814.3,644,1,0
12360,2011-05,1,1083.58,434,-4,0
12360,2011-08,1,534.7,240,-1,0
12360,2011-10,1,1043.78,491,1,0
12361,2011-02,1,189.9,91,-7,0
12362,2011-02,1,479.1,229,-7,0
12362,2011-04,1,495.24,275,-5,0
12362,2011-07,1,303.76,144,-2,0
12362,2011-08,1,469.25,340,-1,0
12362,2011-09,1,829.99,267,0,0
12362,2011-10,3,1641.91,543,1,C
12362,2011-11,1,477.94,210,2,0
12362,2011-12,1,529.04,221,3,0
12363,2011-04,1,299.1,282,-5,0
12363,2011-08,1,252.9,126,-1,0
12364,2011-08,1,623.92,555,-1,0
12364,2011-09,1,79.8,181,0,0
12364,2011-10,1,299.06,268,1,0
12364,2011-12,1,310.32,502,3,0
12365,2011-02,2,641.38,174,-7,C
12367,2011-12,1,168.9,173,3,0
12370,2010-12,2,1864.27,967,-9,C
12370,2011-03,1,938.39,1005,-6,0
12370,2011-10,1,739.28,380,1,0
12371,2011-10,2,1887.96,591,1,C
12372,2011-02,1,399.22,224,-7,0
12372,2011-05,1,515.7,368,-4,0
12372,2011-09,1,383.12,202,0,0
12373,2011-02,1,364.6,197,-7,0
12374,2011-11,1,742.9300000000001,342,2,0
12375,2011-09,1,230.3,87,0,0
12375,2011-11,1,227.20000000000002,91,2,0
12377,2010-12,1,1001.52,604,-9,0
12377,2011-01,1,626.6,340,-8,0
12378,2011-08,1,4008.62,2529,-1,0
12379,2011-06,1,459.84,211,-3,0
12379,2011-09,1,392.40000000000003,196,0,0
12380,2011-06,1,607.5500000000001,293,-3,0
12380,2011-09,1,626.01,290,0,0
12380,2011-10,1,450.86,229,1,0
12380,2011-11,1,1040.39,315,2,0
12381,2011-08,1,1268.74,568,-1,0
12381,2011-10,2,10.5,2,1,C
12381,2011-11,1,419.06,146,2,0
12381,2011-12,1,147.01,92,3,0
12383,2010-12,1,600.72,754,-9,0
12383,2011-01,1,651.16,590,-8,0
12383,2011-03,1,357.07,91,-6,0
12383,2011-04,1,142.16,77,-5,0
12383,2011-06,1,99.45,20,-3,0
12384,2011-08,1,292.69,62,-1,0
12384,2011-11,1,292.58,64,2,0
12386,2010-12,1,258.9,214,-9,0
12386,2011-01,1,143.0,140,-8,0
12388,2011-01,1,431.3,204,-8,0
12388,2011-02,1,124.05000000000001,37,-7,0
12388,2011-03,1,210.9,90,-6,0
12388,2011-07,1,902.09,429,-2,0
12388,2011-09,1,825.9200000000001,478,0,0
12388,2011-11,1,286.4,224,2,0
12390,2011-09,1,549.84,353,0,0
12391,2011-11,1,439.66,293,2,0
12393,2011-01,2,639.5,298,-8,C
12393,2011-04,1,421.6,224,-5,0
12393,2011-09,1,521.5,294,0,0
12394,2011-05,1,381.08,182,-4,0
12394,2011-10,1,891.4,637,1,0
12395,2010-12,2,679.92,753,-9,C
12395,2011-02,1,231.51,262,-7,0
12395,2011-03,1,326.5,321,-6,0
12395,2011-05,2,331.79,155,-4,C
12395,2011-06,1,163.9,103,-3,0
